reference,position,error
0,0,0
0,0,0
0,0,0
1,1,0
2,0,2
3,0,3
4,1,3
6,0,6
7,0,7
9,1,8
11,-1,12
14,0,14
16,1,15
19,1,18
22,0,22
25,0,25
29,0,29
33,1,32
36,0,36
41,0,41
45,0,45
50,1,49
54,0,54
59,-1,60
65,1,64
70,0,70
76,0,76
82,0,82
88,0,88
95,1,94
101,1,100
108,0,108
115,0,115
122,-1,123
130,1,129
138,0,138
146,1,145
154,1,153
162,1,161
171,1,170
180,0,180
189,0,189
198,0,198
208,0,208
217,0,217
227,0,227
238,0,238
248,1,247
259,0,259
270,0,270
281,1,280
292,1,291
304,1,303
315,1,314
327,0,327
340,0,340
352,1,351
365,0,365
377,0,377
391,0,391
404,1,403
417,0,417
431,0,431
445,0,445
459,1,458
474,0,474
488,0,488
503,0,503
518,0,518
534,0,534
549,0,549
565,0,565
581,0,581
597,1,596
614,1,613
630,0,630
647,0,647
664,1,663
681,0,681
699,0,699
717,1,716
734,0,734
753,0,753
771,0,771
790,0,790
808,1,807
827,1,826
847,1,846
866,0,866
886,1,885
906,0,906
926,0,926
946,0,946
967,0,967
987,0,987
1008,0,1008
1030,1,1029
1051,1,1050
1073,1,1072
1095,1,1094
1117,0,1117
1139,0,1139
1161,1,1160
1184,1,1183
1207,1,1206
1230,1,1229
1253,0,1253
1277,0,1277
1301,1,1300
1325,1,1324
1349,0,1349
1373,1,1372
1398,1,1397
1423,1,1422
1448,1,1447
1473,0,1473
1499,1,1498
1524,1,1523
1550,1,1549
1576,1,1575
1603,1,1602
1629,1,1628
1656,1,1655
1683,0,1683
1710,1,1709
1737,1,1736
1765,1,1764
1793,1,1792
1821,1,1820
1849,2,1847
1877,1,1876
1906,2,1904
1935,1,1934
1964,2,1962
1993,2,1991
2022,2,2020
2052,2,2050
2082,2,2080
2112,2,2110
2142,3,2139
2173,2,2171
2203,3,2200
2234,3,2231
2265,3,2262
2297,4,2293
2328,3,2325
2360,5,2355
2392,5,2387
2424,5,2419
2456,6,2450
2489,9,2480
2522,11,2511
2554,13,2541
2588,13,2575
2621,15,2606
2654,16,2638
2688,18,2670
2722,18,2704
2756,19,2737
2791,21,2770
2825,22,2803
