reference,position,error
0,1,-1
0,2,-2
0,2,-2
0,1,-1
1,1,-0
1,2,-1
2,1,1
2,1,1
3,1,2
4,1,3
5,2,3
6,2,4
7,1,6
8,1,7
10,1,9
11,1,10
13,2,11
14,2,12
16,1,15
18,1,17
20,1,19
22,1,21
24,1,23
26,2,24
29,1,28
31,1,30
34,1,33
36,1,35
39,2,37
42,2,40
45,1,44
48,2,46
51,2,49
54,1,53
58,1,57
61,1,60
65,1,64
68,1,67
72,2,70
76,1,75
80,1,79
84,2,82
88,2,86
92,1,91
97,1,96
101,1,100
106,2,104
110,2,108
115,1,114
120,2,118
125,1,124
130,1,129
135,1,134
140,1,139
146,1,145
151,1,150
157,2,155
162,1,161
168,2,166
174,1,173
180,1,179
186,1,185
192,2,190
198,2,196
205,1,204
211,2,209
217,1,216
224,2,222
231,2,229
238,1,237
245,2,243
252,1,251
259,1,258
266,2,264
273,1,272
281,2,279
288,2,286
296,1,295
304,1,303
311,2,309
319,2,317
327,1,326
335,2,333
344,1,343
352,1,351
360,2,358
369,1,368
377,2,375
386,2,384
395,1,394
404,1,403
413,1,412
422,1,421
431,2,429
441,1,440
450,1,449
459,1,458
469,1,468
479,1,478
488,1,487
498,1,497
508,1,507
518,1,517
529,2,527
539,1,538
549,1,548
560,1,559
570,1,569
581,1,580
592,1,591
603,1,602
614,2,612
625,2,623
636,1,635
647,2,645
658,2,656
670,1,669
681,1,680
693,1,692
705,1,704
717,1,716
728,1,727
741,1,740
753,1,752
765,1,764
777,1,776
790,1,789
802,1,801
815,1,814
827,1,826
840,2,838
853,1,852
866,1,865
879,1,878
892,2,890
906,2,904
919,1,918
933,2,931
946,2,944
960,2,958
974,2,972
987,1,986
1001,2,999
1015,3,1012
1030,2,1028
1044,3,1041
1058,1,1057
1073,2,1071
1087,1,1086
1102,2,1100
1117,2,1115
1131,1,1130
1146,3,1143
1161,2,1159
1176,2,1174
1192,2,1190
1207,3,1204
1222,2,1220
1238,3,1235
1253,2,1251
1269,2,1267
1285,2,1283
1301,2,1299
1317,2,1315
1333,2,1331
1349,3,1346
1365,2,1363
1382,3,1379
1398,3,1395
1415,3,1412
1431,3,1428
1448,3,1445
1465,3,1462
1482,3,1479
1499,4,1495
1516,4,1512
1533,4,1529
