reference,position,error
0,0,0
0,0,0
1,-1,2
2,0,2
3,-1,4
5,0,5
7,-1,8
10,0,10
13,0,13
16,-1,17
20,0,20
24,0,24
29,0,29
34,-1,35
39,0,39
45,0,45
51,0,51
58,0,58
65,0,65
72,1,71
80,0,80
88,0,88
97,-1,98
106,-1,107
115,0,115
125,0,125
135,-1,136
146,1,145
157,0,157
168,0,168
180,-1,181
192,0,192
205,-1,206
217,0,217
231,0,231
245,0,245
259,0,259
273,0,273
288,0,288
304,0,304
319,0,319
335,0,335
352,0,352
369,0,369
386,0,386
404,0,404
422,-1,423
441,0,441
459,-1,460
479,-1,480
498,-1,499
518,0,518
539,-1,540
560,-1,561
581,0,581
603,-1,604
625,0,625
647,0,647
670,-1,671
693,0,693
717,0,717
741,0,741
765,0,765
790,0,790
815,0,815
840,0,840
866,1,865
892,0,892
919,0,919
946,1,945
974,-1,975
1001,0,1001
1030,0,1030
1058,0,1058
1087,0,1087
1117,0,1117
1146,0,1146
1176,0,1176
1207,-1,1208
1238,-1,1239
1269,0,1269
1301,0,1301
1333,0,1333
1365,0,1365
1398,0,1398
1431,0,1431
1465,0,1465
1499,0,1499
1533,0,1533
1568,-1,1569
1603,1,1602
1638,0,1638
1674,0,1674
1710,0,1710
1746,0,1746
1783,0,1783
1821,0,1821
1858,0,1858
1896,0,1896
1935,1,1934
1973,0,1973
2013,0,2013
2052,0,2052
2092,-1,2093
2132,0,2132
2173,0,2173
2214,1,2213
2255,0,2255
2297,1,2296
2339,0,2339
2381,1,2380
2424,0,2424
2467,0,2467
2511,1,2510
2554,1,2553
2599,2,2597
2643,1,2642
2688,0,2688
2733,1,2732
2779,2,2777
2825,2,2823
2871,2,2869
2918,1,2917
2965,3,2962
3013,3,3010
3060,3,3057
3109,4,3105
3157,4,3153
3206,5,3201
3255,5,3250
3305,6,3299
3354,6,3348
3405,7,3398
3455,9,3446
3506,11,3495
3557,13,3544
3609,14,3595
3661,17,3644
3713,18,3695
3766,21,3745
3819,25,3794
3872,28,3844
3926,30,3896
3979,33,3946
4034,36,3998
4088,39,4049
4143,42,4101
4199,45,4154
4254,49,4205
4310,53,4257
4367,57,4310
4423,60,4363
4480,64,4416
