control
8
6
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
8
28
47
66
46
18
11
10
9
10
7
10
10
7
9
7
10
8
8
10
7
9
7
10
9
11
10
13
12
15
14
15
17
17
19
21
21
21
21
20
18
16
16
15
14
12
