reference,position,error
0,-1,1
0,-1,1
0,-1,1
0,-1,1
1,-1,2
1,-1,2
2,-1,3
2,-2,4
3,-1,4
4,-1,5
5,-1,6
6,-1,7
7,0,7
8,0,8
10,-1,11
11,-1,12
13,-1,14
14,-1,15
16,-1,17
18,-1,19
20,-1,21
22,-1,23
24,-1,25
26,-1,27
29,-1,30
31,0,31
34,-1,35
36,-1,37
39,-1,40
42,-1,43
45,-1,46
48,-1,49
51,-1,52
54,-1,55
58,-1,59
61,-1,62
65,-1,66
68,-1,69
72,-1,73
76,0,76
80,0,80
84,0,84
88,-1,89
92,-1,93
97,-1,98
101,-1,102
106,0,106
110,-1,111
115,-1,116
120,-1,121
125,-1,126
130,-2,132
135,0,135
140,-1,141
146,0,146
151,-1,152
157,-1,158
162,-1,163
168,-1,169
174,-1,175
180,-1,181
186,-1,187
192,-1,193
198,-1,199
205,-1,206
211,-1,212
217,-1,218
224,0,224
231,-1,232
238,-1,239
245,-1,246
252,0,252
259,-1,260
266,-1,267
273,-1,274
281,-1,282
288,-1,289
296,-1,297
304,0,304
311,-1,312
319,0,319
327,-1,328
335,-1,336
344,-1,345
352,-1,353
360,-1,361
369,-1,370
377,-1,378
386,-1,387
395,-1,396
404,-1,405
413,-1,414
422,-1,423
431,-1,432
441,-1,442
450,0,450
459,-1,460
469,0,469
479,-1,480
488,-1,489
498,-1,499
508,-1,509
518,-1,519
529,-1,530
539,-1,540
549,-1,550
560,-1,561
570,-1,571
581,-1,582
592,-1,593
603,-1,604
614,-1,615
625,-1,626
636,-1,637
647,-1,648
658,0,658
670,-1,671
681,-1,682
693,-1,694
705,-2,707
717,-1,718
728,0,728
741,-1,742
753,0,753
765,-1,766
777,-1,778
790,0,790
802,-1,803
815,-1,816
827,0,827
840,-1,841
853,0,853
866,-1,867
879,-1,880
892,-1,893
906,-2,908
919,0,919
933,-1,934
946,-1,947
960,-1,961
974,0,974
987,-1,988
1001,-1,1002
1015,0,1015
1030,-1,1031
1044,-1,1045
1058,0,1058
1073,0,1073
1087,-1,1088
1102,0,1102
1117,-1,1118
1131,0,1131
1146,0,1146
1161,-1,1162
1176,0,1176
1192,0,1192
1207,0,1207
1222,0,1222
1238,-1,1239
1253,-1,1254
1269,0,1269
1285,0,1285
1301,0,1301
1317,-1,1318
1333,0,1333
1349,0,1349
1365,0,1365
1382,0,1382
1398,1,1397
1415,0,1415
1431,0,1431
1448,0,1448
1465,0,1465
1482,1,1481
1499,1,1498
1516,0,1516
1533,1,1532
1550,1,1549
1568,1,1567
1585,0,1585
1603,1,1602
1620,1,1619
1638,1,1637
1656,1,1655
1674,1,1673
1692,1,1691
1710,1,1709
1728,1,1727
1746,2,1744
1765,2,1763
1783,1,1782
1802,2,1800
1821,2,1819
1839,1,1838
1858,2,1856
1877,1,1876
1896,2,1894
1915,2,1913
1935,2,1933
1954,3,1951
1973,3,1970
1993,3,1990
2013,3,2010
2032,3,2029
2052,3,2049
2072,4,2068
2092,3,2089
2112,4,2108
2132,4,2128
2152,4,2148
2173,4,2169
2193,5,2188
2214,4,2210
2234,5,2229
2255,5,2250
2276,5,2271
2297,6,2291
2318,6,2312
2339,6,2333
2360,6,2354
2381,6,2375
2403,7,2396
2424,8,2416
2446,7,2439
2467,7,2460
2489,8,2481
2511,8,2503
2532,8,2524
2554,10,2544
2577,9,2568
2599,10,2589
2621,10,2611
2643,12,2631
2666,11,2655
2688,12,2676
2711,13,2698
2733,14,2719
2756,14,2742
2779,15,2764
2802,16,2786
2825,17,2808
2848,18,2830
2871,18,2853
2895,19,2876
2918,20,2898
2942,22,2920
2965,24,2941
2989,26,2963
3013,27,2986
3037,28,3009
3060,29,3031
3084,32,3052
3109,32,3077
3133,34,3099
3157,36,3121
3181,37,3144
3206,40,3166
3230,41,3189
3255,43,3212
3280,45,3235
3305,47,3258
3329,49,3280
3354,52,3302
3379,55,3324
3405,58,3347
3430,60,3370
3455,63,3392
3481,67,3414
3506,69,3437
3532,73,3459
3557,76,3481
3583,81,3502
3609,84,3525
3635,89,3546
3661,93,3568
3687,98,3589
3713,104,3609
3739,110,3629
3766,116,3650
3792,122,3670
3819,128,3691
3845,135,3710
3872,142,3730
3899,150,3749
3926,158,3768
3952,170,3782
3979,184,3795
4007,204,3803
4034,232,3802
4061,265,3796
4088,307,3781
4116,381,3735
4143,496,3647
4171,649,3522
4199,806,3393
4226,1001,3225
4254,1233,3021
4282,1485,2797
4310,1742,2568
4338,2009,2329
4367,2278,2089
4395,2517,1878
4423,2726,1697
4452,2900,1552
4480,3056,1424
4509,3190,1319
4537,3325,1212
4566,3442,1124
4595,3551,1044
4624,3658,966
4653,3766,887
4682,3870,812
4711,3972,739
4741,4069,672
4770,4157,613
4799,4234,565
4829,4311,518
4858,4382,476
4888,4443,445
4918,4501,417
4948,4553,395
4978,4603,375
5007,4652,355
5038,4700,338
5068,4744,324
5098,4785,313
5128,4823,305
5159,4857,302
5189,4890,299
5220,4922,298
5250,4951,299
5281,4978,303
5312,5001,311
5343,5026,317
5373,5049,324
5404,5072,332
5436,5097,339
5467,5121,346
5498,5144,354
5529,5170,359
5561,5193,368
5592,5218,374
5624,5242,382
5655,5264,391
5687,5288,399
5719,5312,407
5751,5337,414
5783,5363,420
5815,5387,428
5847,5411,436
5879,5439,440
5911,5467,444
5944,5495,449
5976,5523,453
6008,5549,459
6041,5577,464
6074,5606,468
6106,5636,470
6139,5666,473
6172,5694,478
6205,5725,480
6238,5757,481
6271,5790,481
6304,5822,482
6337,5855,482
6371,5887,484
6404,5922,482
6437,5957,480
6471,5991,480
6505,6025,480
6538,6057,481
6572,6090,482
6606,6125,481
6640,6161,479
6674,6198,476
6708,6234,474
6742,6271,471
6776,6308,468
6810,6348,462
6845,6389,456
6879,6429,450
6914,6467,447
6948,6508,440
6983,6549,434
7017,6591,426
7052,6634,418
7087,6673,414
7122,6716,406
7157,6759,398
7192,6804,388
7227,6849,378
7262,6894,368
7298,6939,359
7333,6984,349
7368,7031,337
7404,7078,326
7439,7123,316
7475,7170,305
7511,7219,292
7546,7267,279
7582,7315,267
7618,7365,253
7654,7415,239
7690,7468,222
7726,7520,206
7763,7570,193
