reference,position,error
0,1,-1
0,1,-1
1,0,1
2,1,1
3,1,2
5,0,5
7,1,6
10,1,9
13,0,13
16,0,16
20,1,19
24,1,23
29,0,29
34,1,33
39,0,39
45,0,45
51,0,51
58,1,57
65,0,65
72,1,71
80,1,79
88,0,88
97,0,97
106,0,106
115,1,114
125,1,124
135,1,134
146,1,145
157,1,156
168,1,167
180,1,179
192,1,191
205,1,204
217,0,217
231,1,230
245,0,245
259,0,259
273,0,273
288,0,288
304,0,304
319,0,319
335,1,334
352,0,352
369,0,369
386,1,385
404,1,403
422,0,422
441,1,440
459,1,458
479,0,479
498,1,497
518,0,518
539,0,539
560,0,560
581,1,580
603,0,603
625,1,624
647,0,647
670,0,670
693,0,693
717,0,717
741,1,740
765,0,765
790,1,789
815,1,814
840,0,840
866,0,866
892,1,891
919,1,918
946,0,946
974,0,974
1001,0,1001
1030,1,1029
1058,0,1058
1087,1,1086
1117,0,1117
1146,0,1146
1176,1,1175
1207,1,1206
1238,1,1237
1269,1,1268
1301,1,1300
1333,1,1332
1365,0,1365
1398,1,1397
1431,1,1430
1465,1,1464
1499,1,1498
1533,0,1533
1568,0,1568
1603,1,1602
1638,0,1638
1674,1,1673
1710,1,1709
1746,1,1745
1783,1,1782
1821,1,1820
1858,1,1857
1896,1,1895
1935,1,1934
1973,1,1972
2013,0,2013
2052,1,2051
2092,2,2090
2132,2,2130
2173,2,2171
2214,1,2213
2255,1,2254
2297,1,2296
2339,1,2338
2381,1,2380
2424,2,2422
2467,2,2465
2511,1,2510
2554,2,2552
2599,2,2597
2643,2,2641
2688,2,2686
2733,2,2731
2779,2,2777
2825,2,2823
2871,4,2867
2918,3,2915
2965,3,2962
3013,2,3011
3060,3,3057
3109,5,3104
3157,4,3153
3206,3,3203
3255,5,3250
3305,5,3300
3354,5,3349
3405,5,3400
3455,6,3449
3506,7,3499
3557,7,3550
3609,7,3602
3661,7,3654
3713,8,3705
3766,9,3757
3819,10,3809
3872,10,3862
3926,11,3915
3979,13,3966
4034,13,4021
4088,14,4074
4143,15,4128
4199,15,4184
4254,17,4237
4310,18,4292
4367,19,4348
4423,21,4402
4480,22,4458
4537,23,4514
4595,25,4570
4653,26,4627
4711,28,4683
4770,29,4741
4829,30,4799
4888,32,4856
4948,34,4914
5007,36,4971
5068,39,5029
5128,39,5089
5189,42,5147
5250,44,5206
5312,47,5265
5373,48,5325
5436,50,5386
5498,52,5446
5561,56,5505
5624,58,5566
5687,61,5626
5751,63,5688
5815,67,5748
5879,70,5809
5944,73,5871
6008,77,5931
6074,81,5993
6139,85,6054
6205,89,6116
6271,93,6178
6337,97,6240
6404,102,6302
6471,107,6364
6538,113,6425
6606,120,6486
6674,128,6546
6742,141,6601
6810,156,6654
6879,171,6708
6948,188,6760
7017,204,6813
7087,224,6863
7157,247,6910
7227,270,6957
7298,297,7001
7368,327,7041
7439,364,7075
7511,415,7096
7582,502,7080
7654,638,7016
7726,823,6903
7799,1052,6747
7871,1337,6534
7944,1678,6266
8018,2059,5959
8091,2508,5583
8165,3016,5149
8239,3537,4702
8313,4103,4210
8388,4654,3734
8463,5141,3322
8538,5623,2915
8613,6076,2537
8689,6467,2222
8765,6802,1963
8841,7063,1778
8918,7252,1666
8994,7405,1589
9071,7532,1539
9148,7637,1511
9226,7731,1495
9304,7820,1484
9382,7901,1481
9460,7993,1467
9538,8103,1435
9617,8225,1392
9696,8346,1350
9775,8465,1310
9854,8579,1275
9934,8701,1233
10014,8823,1191
10094,8932,1162
10175,9038,1137
10255,9131,1124
10336,9228,1108
10417,9320,1097
10499,9413,1086
10580,9502,1078
10662,9587,1075
10744,9669,1075
10826,9756,1070
10909,9846,1063
10991,9938,1053
11074,10030,1044
11158,10125,1033
11241,10218,1023
11325,10317,1008
11408,10424,984
11492,10527,965
11577,10629,948
11661,10727,934
11746,10818,928
11831,10913,918
11916,11011,905
12001,11105,896
12087,11192,895
12172,11273,899
12258,11354,904
12344,11436,908
12431,11512,919
12517,11586,931
12604,11668,936
12691,11751,940
12778,11834,944
12866,11925,941
12953,12021,932
13041,12124,917
13129,12233,896
13217,12345,872
13305,12464,841
13394,12594,800
13482,12713,769
13571,12833,738
13660,12954,706
13749,13069,680
13839,13168,671
13928,13265,663
14018,13357,661
14108,13443,665
14198,13521,677
14288,13593,695
14379,13662,717
14469,13733,736
14560,13801,759
14651,13868,783
14742,13934,808
14833,13998,835
14925,14068,857
15017,14140,877
15108,14216,892
15200,14296,904
15292,14379,913
15384,14462,922
15477,14554,923
15569,14656,913
15662,14759,903
15755,14865,890
15848,14964,884
15941,15063,878
16034,15171,863
16128,15274,854
16221,15371,850
16315,15467,848
16409,15570,839
16503,15676,827
16597,15784,813
16691,15892,799
16786,16007,779
16880,16126,754
16975,16253,722
17070,16373,697
17164,16491,673
17259,16602,657
17355,16708,647
17450,16801,649
17545,16894,651
17641,16979,662
17736,17061,675
17832,17138,694
17928,17214,714
18024,17289,735
18120,17366,754
18216,17445,771
18313,17529,784
18409,17610,799
18505,17700,805
18602,17795,807
18699,17890,809
18796,17990,806
18893,18092,801
18990,18201,789
19087,18315,772
19184,18428,756
19281,18534,747
19379,18633,746
19476,18741,735
19574,18846,728
19671,18945,726
19769,19037,732
19867,19126,741
19965,19219,746
20063,19310,753
20161,19400,761
20259,19496,763
20357,19592,765
20456,19697,759
20554,19806,748
20652,19924,728
20751,20054,697
20849,20173,676
20948,20296,652
21047,20428,619
21146,20547,599
21244,20657,587
21343,20759,584
21442,20860,582
21541,20956,585
21640,21040,600
21739,21119,620
21839,21192,647
21938,21266,672
22037,21332,705
22136,21398,738
22236,21464,772
22335,21531,804
22435,21603,832
22534,21676,858
22634,21749,885
22733,21824,909
22833,21908,925
22932,22010,922
23032,22115,917
23132,22225,907
23232,22344,888
23331,22461,870
23431,22583,848
23531,22702,829
23631,22820,811
23731,22930,801
23831,23029,802
23930,23123,807
24030,23214,816
24130,23307,823
24230,23395,835
24330,23479,851
24430,23565,865
24530,23657,873
24630,23751,879
24730,23851,879
24830,23961,869
24930,24074,856
25030,24197,833
25130,24334,796
25230,24479,751
25330,24622,708
25430,24759,671
25530,24901,629
25630,25027,603
