reference,position,error
0,-1,1
0,-1,1
0,-1,1
1,-1,2
2,-1,3
3,-1,4
4,-1,5
6,-1,7
7,-1,8
9,0,9
11,-1,12
14,-1,15
16,-1,17
19,-1,20
22,-1,23
25,-1,26
29,-1,30
33,0,33
36,-1,37
41,-1,42
45,-1,46
50,-1,51
54,-1,55
59,-1,60
65,0,65
70,-1,71
76,0,76
82,-1,83
88,0,88
95,0,95
101,-1,102
108,-1,109
115,-1,116
122,-1,123
130,-1,131
138,0,138
146,-1,147
154,0,154
162,-1,163
171,-1,172
180,-1,181
189,-1,190
198,-1,199
208,-1,209
217,-1,218
227,-1,228
238,-1,239
248,-1,249
259,-1,260
270,-1,271
281,-1,282
292,-1,293
304,-1,305
315,-1,316
327,-1,328
340,-1,341
352,-1,353
365,-1,366
377,-1,378
391,-1,392
404,-1,405
417,-1,418
431,-1,432
445,-1,446
459,-1,460
474,-1,475
488,0,488
503,-1,504
518,-1,519
534,-1,535
549,0,549
565,-1,566
581,0,581
597,-1,598
614,-1,615
630,-1,631
647,-1,648
664,-1,665
681,0,681
699,-1,700
717,0,717
734,-1,735
753,0,753
771,0,771
790,-1,791
808,0,808
827,-1,828
847,-1,848
866,-1,867
886,-1,887
906,-1,907
926,-1,927
946,-1,947
967,-1,968
987,-1,988
1008,0,1008
1030,0,1030
1051,-1,1052
1073,0,1073
1095,-1,1096
1117,0,1117
1139,-1,1140
1161,0,1161
1184,-1,1185
1207,-1,1208
1230,-1,1231
1253,0,1253
1277,-1,1278
1301,-1,1302
1325,0,1325
1349,0,1349
1373,-1,1374
1398,-1,1399
1423,-1,1424
1448,0,1448
1473,0,1473
1499,0,1499
1524,0,1524
1550,0,1550
1576,-1,1577
1603,0,1603
1629,1,1628
1656,0,1656
1683,0,1683
1710,0,1710
1737,0,1737
1765,0,1765
1793,0,1793
1821,1,1820
1849,0,1849
1877,1,1876
1906,0,1906
1935,1,1934
1964,0,1964
1993,1,1992
2022,1,2021
2052,1,2051
2082,2,2080
2112,1,2111
2142,1,2141
2173,2,2171
2203,1,2202
2234,2,2232
2265,2,2263
2297,2,2295
2328,2,2326
2360,2,2358
2392,2,2390
2424,3,2421
2456,3,2453
2489,3,2486
2522,3,2519
2554,3,2551
2588,3,2585
2621,4,2617
2654,4,2650
2688,4,2684
2722,4,2718
2756,5,2751
2791,6,2785
2825,6,2819
2860,7,2853
2895,7,2888
2930,8,2922
2965,8,2957
3001,9,2992
3037,10,3027
3072,11,3061
3109,11,3098
3145,12,3133
3181,13,3168
3218,14,3204
3255,14,3241
3292,15,3277
3329,17,3312
3367,17,3350
3405,18,3387
3442,19,3423
3481,20,3461
3519,21,3498
3557,22,3535
3596,24,3572
3635,24,3611
3674,26,3648
3713,26,3687
3752,27,3725
3792,29,3763
3832,30,3802
3872,32,3840
3912,33,3879
3952,34,3918
3993,36,3957
4034,38,3996
4075,39,4036
4116,41,4075
4157,43,4114
4199,45,4154
4240,47,4193
4282,48,4234
4324,50,4274
4367,53,4314
4409,55,4354
4452,58,4394
4494,61,4433
4537,63,4474
4581,67,4514
4624,70,4554
4668,73,4595
4711,77,4634
4755,80,4675
4799,84,4715
4844,88,4756
4888,93,4795
4933,97,4836
4978,103,4875
5023,108,4915
5068,114,4954
5113,121,4992
5159,129,5030
5204,140,5064
5250,155,5095
5296,178,5118
5343,206,5137
5389,244,5145
5436,282,5154
5482,326,5156
5529,378,5151
5576,452,5124
5624,575,5049
5671,733,4938
5719,919,4800
5767,1163,4604
5815,1454,4361
5863,1797,4066
5911,2182,3729
5960,2618,3342
6008,3044,2964
6057,3491,2566
6106,3928,2178
6155,4324,1831
6205,4675,1530
6254,4939,1315
6304,5138,1166
6354,5293,1061
6404,5397,1007
6454,5466,988
6505,5509,996
6555,5537,1018
6606,5560,1046
6657,5584,1073
6708,5616,1092
6759,5665,1094
6810,5731,1079
6862,5803,1059
6914,5877,1037
6965,5951,1014
7017,6026,991
7070,6101,969
7122,6180,942
7174,6258,916
7227,6338,889
7280,6418,862
7333,6504,829
7386,6589,797
7439,6673,766
7493,6762,731
7546,6854,692
7600,6950,650
7654,7042,612
7708,7131,577
7763,7220,543
7817,7317,500
7871,7414,457
7926,7510,416
7981,7605,376
8036,7695,341
8091,7786,305
8147,7873,274
8202,7953,249
8258,8029,229
8313,8099,214
8369,8163,206
8425,8220,205
8482,8272,210
8538,8320,218
8595,8365,230
8651,8408,243
8708,8447,261
8765,8487,278
8822,8523,299
8879,8558,321
8937,8591,346
8994,8622,372
9052,8657,395
9110,8688,422
9168,8721,447
9226,8755,471
9284,8788,496
9343,8821,522
9401,8856,545
9460,8891,569
9519,8927,592
9578,8962,616
9637,9000,637
9696,9040,656
9755,9081,674
9815,9121,694
9874,9167,707
9934,9216,718
9994,9266,728
10054,9323,731
10114,9383,731
10175,9444,731
10235,9511,724
10296,9577,719
10356,9647,709
10417,9722,695
10478,9801,677
10539,9880,659
10601,9966,635
10662,10054,608
10724,10139,585
10785,10226,559
10847,10316,531
10909,10406,503
10971,10499,472
11033,10587,446
11095,10670,425
11158,10751,407
11220,10825,395
11283,10891,392
11346,10956,390
11408,11016,392
11471,11070,401
11535,11123,412
11598,11172,426
11661,11221,440
11725,11268,457
11788,11313,475
11852,11359,493
11916,11405,511
11980,11447,533
12044,11487,557
12108,11529,579
12172,11572,600
12237,11617,620
12301,11668,633
12366,11720,646
12431,11774,657
12496,11834,662
12561,11900,661
12626,11972,654
12691,12050,641
12756,12131,625
12822,12216,606
12887,12313,574
12953,12408,545
13019,12506,513
13085,12601,484
13151,12691,460
13217,12777,440
13283,12871,412
13349,12956,393
13416,13031,385
13482,13104,378
13549,13171,378
13616,13230,386
13682,13288,394
13749,13342,407
13816,13394,422
13883,13441,442
13951,13487,464
14018,13531,487
14085,13580,505
14153,13629,524
14221,13677,544
14288,13727,561
14356,13779,577
14424,13829,595
14492,13883,609
14560,13940,620
14628,14002,626
14697,14065,632
14765,14126,639
14833,14188,645
14902,14254,648
14971,14326,645
15039,14401,638
15108,14475,633
15177,14548,629
15246,14621,625
15315,14698,617
15384,14772,612
15454,14849,605
15523,14927,596
15593,14997,596
15662,15069,593
