reference,position,error
0,-1,1
0,-1,1
1,-2,3
2,-1,3
3,-1,4
5,-1,6
7,-1,8
10,-1,11
13,-1,14
16,-1,17
20,-1,21
24,-2,26
29,-1,30
34,-1,35
39,-1,40
45,-2,47
51,-2,53
58,-1,59
65,-1,66
72,-1,73
80,-1,81
88,-1,89
97,-2,99
106,-1,107
115,-2,117
125,-2,127
135,-1,136
146,-1,147
157,-1,158
168,-2,170
180,-2,182
192,-1,193
205,-1,206
217,-1,218
231,-1,232
245,-1,246
259,-1,260
273,-1,274
288,-1,289
304,-1,305
319,-1,320
335,-1,336
352,-1,353
369,-1,370
386,-2,388
404,-1,405
422,-1,423
441,-1,442
459,-1,460
479,-2,481
498,-1,499
518,-1,519
539,-1,540
560,0,560
581,-1,582
603,-1,604
625,-1,626
647,-2,649
670,-2,672
693,-1,694
717,-1,718
741,-1,742
765,-1,766
790,-1,791
815,0,815
840,-2,842
866,-1,867
892,-1,893
919,0,919
946,-1,947
974,-1,975
1001,-1,1002
1030,-1,1031
1058,-1,1059
1087,-1,1088
1117,-1,1118
1146,-1,1147
1176,-1,1177
1207,-1,1208
1238,-1,1239
1269,-1,1270
1301,-1,1302
1333,-1,1334
1365,-1,1366
1398,-1,1399
1431,-2,1433
1465,-1,1466
1499,-1,1500
1533,-1,1534
1568,-1,1569
1603,0,1603
1638,-1,1639
1674,-1,1675
1710,-1,1711
1746,-1,1747
1783,-1,1784
1821,-1,1822
1858,-1,1859
1896,-1,1897
1935,-1,1936
1973,-1,1974
2013,-1,2014
2052,-1,2053
2092,-2,2094
2132,-1,2133
2173,-1,2174
2214,-1,2215
2255,-1,2256
2297,-1,2298
2339,-1,2340
2381,-2,2383
2424,-1,2425
2467,-2,2469
2511,-1,2512
2554,-1,2555
2599,-2,2601
2643,-1,2644
2688,-1,2689
2733,-1,2734
2779,-2,2781
2825,-1,2826
2871,-1,2872
2918,-2,2920
2965,-1,2966
3013,-1,3014
3060,-2,3062
3109,-1,3110
3157,-1,3158
3206,-1,3207
3255,-2,3257
3305,-1,3306
3354,-1,3355
3405,-1,3406
3455,-1,3456
3506,-1,3507
3557,-1,3558
3609,-1,3610
3661,-1,3662
3713,-1,3714
3766,-1,3767
3819,-2,3821
3872,0,3872
3926,-1,3927
3979,-1,3980
4034,-1,4035
4088,-1,4089
4143,-1,4144
4199,-1,4200
4254,-1,4255
4310,-1,4311
4367,-1,4368
4423,-1,4424
4480,-1,4481
4537,0,4537
4595,-1,4596
4653,-1,4654
4711,-1,4712
4770,-1,4771
4829,-1,4830
4888,-1,4889
4948,-1,4949
5007,-1,5008
5068,-1,5069
5128,0,5128
5189,-1,5190
5250,-1,5251
5312,-1,5313
5373,-1,5374
5436,-1,5437
5498,-2,5500
5561,-1,5562
5624,-1,5625
5687,-1,5688
5751,-1,5752
5815,0,5815
5879,-1,5880
5944,-1,5945
6008,-2,6010
6074,-1,6075
6139,-1,6140
6205,-1,6206
6271,-1,6272
6337,-1,6338
6404,-1,6405
6471,-1,6472
6538,-1,6539
6606,-2,6608
6674,-1,6675
6742,-1,6743
6810,0,6810
6879,-1,6880
6948,0,6948
7017,-1,7018
7087,-1,7088
7157,-1,7158
7227,-1,7228
7298,-1,7299
7368,-1,7369
7439,-1,7440
7511,-1,7512
7582,-1,7583
7654,-1,7655
7726,0,7726
7799,-1,7800
7871,-1,7872
7944,-1,7945
8018,-1,8019
8091,-1,8092
8165,0,8165
8239,-1,8240
8313,-1,8314
8388,-1,8389
8463,-1,8464
8538,0,8538
8613,-1,8614
8689,-1,8690
8765,-1,8766
8841,0,8841
8918,0,8918
8994,-1,8995
9071,-1,9072
9148,-1,9149
9226,-1,9227
9304,-1,9305
9382,-1,9383
9460,-1,9461
9538,-1,9539
9617,-1,9618
9696,-1,9697
9775,-1,9776
9854,-1,9855
9934,-1,9935
10014,-1,10015
10094,0,10094
10175,-1,10176
10255,0,10255
10336,-1,10337
10417,0,10417
10499,0,10499
10580,0,10580
10662,0,10662
10744,0,10744
10826,-1,10827
10909,0,10909
10991,0,10991
11074,0,11074
11158,-1,11159
11241,0,11241
11325,0,11325
11408,0,11408
11492,-1,11493
11577,0,11577
11661,0,11661
11746,0,11746
11831,0,11831
11916,0,11916
12001,0,12001
12087,1,12086
12172,0,12172
12258,1,12257
12344,-1,12345
12431,0,12431
12517,0,12517
12604,0,12604
12691,0,12691
12778,0,12778
12866,0,12866
12953,1,12952
13041,1,13040
13129,1,13128
13217,0,13217
13305,1,13304
13394,2,13392
13482,0,13482
13571,1,13570
13660,1,13659
13749,1,13748
13839,2,13837
13928,1,13927
14018,2,14016
14108,2,14106
14198,0,14198
14288,1,14287
14379,2,14377
14469,2,14467
14560,2,14558
14651,1,14650
14742,2,14740
14833,1,14832
14925,1,14924
15017,2,15015
15108,3,15105
15200,2,15198
15292,2,15290
15384,2,15382
15477,3,15474
15569,3,15566
15662,4,15658
15755,5,15750
15848,5,15843
15941,7,15934
16034,8,16026
16128,10,16118
16221,17,16204
16315,22,16293
16409,26,16383
16503,30,16473
16597,33,16564
16691,38,16653
16786,42,16744
16880,46,16834
16975,51,16924
17070,56,17014
17164,61,17103
17259,67,17192
17355,74,17281
17450,82,17368
17545,94,17451
17641,111,17530
17736,140,17596
17832,184,17648
17928,274,17654
18024,438,17586
18120,664,17456
18216,916,17300
18313,1237,17076
18409,1600,16809
18505,2080,16425
18602,2585,16017
18699,3059,15640
18796,3630,15166
18893,4178,14715
18990,4716,14274
19087,5210,13877
19184,5705,13479
19281,6212,13069
19379,6734,12645
19476,7256,12220
19574,7830,11744
19671,8443,11228
19769,9029,10740
19867,9669,10198
19965,10373,9592
20063,11003,9060
20161,11659,8502
20259,12431,7828
20357,13127,7230
20456,13818,6638
20554,14610,5944
20652,15297,5355
20751,16078,4673
20849,16827,4022
20948,17507,3441
21047,18200,2847
21146,18830,2316
21244,19339,1905
21343,19825,1518
21442,20280,1162
21541,20630,911
21640,20890,750
21739,21064,675
21839,21190,649
21938,21285,653
22037,21356,681
22136,21420,716
22236,21482,754
22335,21558,777
22435,21659,776
22534,21790,744
22634,21953,681
22733,22139,594
22833,22347,486
22932,22560,372
23032,22771,261
