reference,position,error
0,1,-1
0,0,0
0,1,-1
1,0,1
2,0,2
3,0,3
4,1,3
6,0,6
7,0,7
9,0,9
11,0,11
14,1,13
16,1,15
19,0,19
22,0,22
25,1,24
29,0,29
33,1,32
36,0,36
41,1,40
45,0,45
50,0,50
54,1,53
59,1,58
65,0,65
70,0,70
76,0,76
82,0,82
88,0,88
95,0,95
101,1,100
108,0,108
115,0,115
122,0,122
130,0,130
138,0,138
146,0,146
154,0,154
162,1,161
171,1,170
180,0,180
189,1,188
198,0,198
208,0,208
217,1,216
227,0,227
238,1,237
248,0,248
259,1,258
270,1,269
281,1,280
292,1,291
304,0,304
315,0,315
327,1,326
340,0,340
352,0,352
365,0,365
377,0,377
391,0,391
404,1,403
417,0,417
431,1,430
445,0,445
459,1,458
474,1,473
488,0,488
503,0,503
518,0,518
534,1,533
549,1,548
565,0,565
581,1,580
597,0,597
614,1,613
630,0,630
647,0,647
664,1,663
681,1,680
699,0,699
717,0,717
734,0,734
753,0,753
771,1,770
790,0,790
808,0,808
827,0,827
847,0,847
866,0,866
886,0,886
906,0,906
926,1,925
946,0,946
967,0,967
987,1,986
1008,1,1007
1030,1,1029
1051,0,1051
1073,0,1073
1095,1,1094
1117,0,1117
1139,0,1139
1161,0,1161
1184,-1,1185
1207,1,1206
1230,1,1229
1253,0,1253
1277,1,1276
1301,1,1300
1325,0,1325
1349,0,1349
1373,0,1373
1398,1,1397
1423,1,1422
1448,0,1448
1473,1,1472
1499,1,1498
1524,0,1524
1550,0,1550
1576,0,1576
1603,1,1602
1629,1,1628
1656,1,1655
1683,1,1682
1710,1,1709
1737,1,1736
1765,1,1764
1793,1,1792
1821,1,1820
1849,1,1848
1877,1,1876
1906,2,1904
1935,2,1933
1964,1,1963
1993,2,1991
2022,3,2019
2052,3,2049
2082,3,2079
2112,3,2109
2142,3,2139
2173,3,2170
2203,3,2200
2234,5,2229
2265,4,2261
2297,4,2293
2328,4,2324
2360,5,2355
2392,6,2386
2424,7,2417
2456,9,2447
2489,9,2480
2522,10,2512
2554,10,2544
2588,12,2576
2621,12,2609
2654,13,2641
2688,14,2674
2722,14,2708
2756,15,2741
2791,16,2775
2825,17,2808
2860,18,2842
2895,19,2876
2930,20,2910
2965,20,2945
3001,22,2979
3037,23,3014
3072,24,3048
3109,25,3084
3145,26,3119
3181,27,3154
3218,29,3189
3255,29,3226
3292,31,3261
3329,32,3297
3367,34,3333
3405,35,3370
3442,38,3404
3481,38,3443
3519,40,3479
3557,42,3515
3596,44,3552
3635,45,3590
3674,48,3626
3713,50,3663
3752,53,3699
3792,55,3737
3832,58,3774
3872,60,3812
3912,63,3849
3952,67,3885
3993,70,3923
4034,74,3960
4075,77,3998
4116,81,4035
4157,86,4071
4199,89,4110
4240,94,4146
4282,98,4184
4324,103,4221
4367,109,4258
4409,115,4294
4452,121,4331
4494,128,4366
4537,135,4402
4581,142,4439
4624,151,4473
4668,161,4507
4711,174,4537
4755,193,4562
4799,216,4583
4844,246,4598
4888,287,4601
4933,361,4572
4978,491,4487
5023,668,4355
5068,891,4177
5113,1144,3969
5159,1459,3700
5204,1779,3425
5250,2142,3108
5296,2506,2790
5343,2844,2499
5389,3113,2276
5436,3363,2073
5482,3574,1908
5529,3775,1754
5576,3934,1642
5624,4056,1568
5671,4155,1516
5719,4246,1473
5767,4330,1437
5815,4412,1403
5863,4492,1371
5911,4580,1331
5960,4665,1295
6008,4757,1251
6057,4849,1208
6106,4938,1168
6155,5032,1123
6205,5123,1082
6254,5213,1041
6304,5309,995
6354,5403,951
6404,5500,904
6454,5591,863
6505,5680,825
6555,5772,783
6606,5860,746
6657,5935,722
6708,6006,702
6759,6074,685
6810,6144,666
6862,6207,655
6914,6268,646
6965,6330,635
7017,6395,622
7070,6463,607
7122,6531,591
7174,6601,573
7227,6672,555
7280,6735,545
7333,6797,536
7386,6861,525
7439,6923,516
7493,6985,508
7546,7043,503
7600,7100,500
7654,7158,496
7708,7214,494
7763,7273,490
7817,7332,485
7871,7391,480
7926,7452,474
7981,7514,467
8036,7579,457
8091,7649,442
8147,7721,426
8202,7791,411
8258,7858,400
8313,7926,387
8369,7992,377
8425,8057,368
8482,8120,362
8538,8173,365
8595,8227,368
8651,8280,371
8708,8334,374
8765,8385,380
8822,8431,391
8879,8478,401
8937,8524,413
8994,8570,424
9052,8614,438
9110,8655,455
9168,8694,474
9226,8732,494
9284,8770,514
9343,8808,535
9401,8843,558
9460,8882,578
9519,8922,597
9578,8964,614
9637,9007,630
9696,9051,645
9755,9099,656
9815,9151,664
9874,9205,669
9934,9264,670
9994,9322,672
10054,9384,670
10114,9452,662
10175,9521,654
10235,9592,643
10296,9668,628
10356,9748,608
10417,9830,587
10478,9913,565
10539,9996,543
10601,10077,524
10662,10167,495
10724,10255,469
10785,10332,453
10847,10409,438
10909,10478,431
10971,10548,423
11033,10616,417
11095,10677,418
11158,10736,422
11220,10789,431
11283,10843,440
11346,10899,447
11408,10951,457
11471,11001,470
11535,11049,486
11598,11096,502
11661,11144,517
11725,11195,530
11788,11243,545
11852,11291,561
11916,11339,577
11980,11388,592
12044,11440,604
12108,11495,613
12172,11549,623
12237,11608,629
12301,11670,631
12366,11738,628
12431,11818,613
12496,11899,597
12561,11991,570
12626,12083,543
12691,12183,508
12756,12288,468
12822,12391,431
12887,12496,391
12953,12593,360
13019,12683,336
13085,12771,314
13151,12848,303
13217,12919,298
13283,12984,299
13349,13041,308
13416,13093,323
13482,13140,342
13549,13186,363
13616,13231,385
13682,13272,410
13749,13312,437
13816,13352,464
13883,13395,488
13951,13439,512
14018,13483,535
14085,13531,554
14153,13579,574
14221,13631,590
14288,13683,605
14356,13739,617
14424,13797,627
14492,13855,637
14560,13921,639
14628,13993,635
14697,14063,634
14765,14132,633
14833,14212,621
14902,14299,603
14971,14384,587
15039,14471,568
15108,14561,547
15177,14647,530
15246,14733,513
15315,14819,496
15384,14899,485
15454,14972,482
15523,15040,483
15593,15106,487
15662,15165,497
15732,15220,512
15801,15274,527
15871,15329,542
15941,15385,556
16011,15444,567
16081,15503,578
16151,15567,584
16221,15638,583
16292,15712,580
16362,15792,570
16432,15874,558
16503,15958,545
16573,16048,525
16644,16137,507
16715,16223,492
16786,16313,473
16856,16400,456
16927,16484,443
16998,16564,434
17070,16636,434
17141,16707,434
17212,16776,436
17283,16842,441
17355,16901,454
17426,16959,467
17498,17015,483
17569,17071,498
17641,17125,516
17712,17183,529
17784,17242,542
17856,17302,554
17928,17364,564
18000,17425,575
18072,17493,579
18144,17563,581
18216,17639,577
18288,17717,571
18361,17797,564
18433,17879,554
18505,17968,537
18578,18060,518
18650,18146,504
18723,18233,490
18796,18314,482
18868,18390,478
18941,18460,481
19014,18537,477
19087,18610,477
19160,18680,480
19233,18748,485
19306,18816,490
19379,18885,494
19452,18955,497
19525,19024,501
19598,19096,502
19671,19167,504
19745,19241,504
19818,19316,502
19891,19393,498
19965,19475,490
20038,19557,481
20112,19641,471
20185,19724,461
20259,19810,449
20333,19907,426
20406,20005,401
20480,20097,383
20554,20194,360
20628,20291,337
20702,20387,315
20775,20477,298
20849,20554,295
20923,20631,292
20997,20701,296
21071,20762,309
21146,20815,331
21220,20867,353
21294,20920,374
21368,20969,399
21442,21015,427
21516,21062,454
21591,21112,479
21665,21165,500
21739,21217,522
21814,21271,543
21888,21329,559
21963,21392,571
22037,21458,579
22112,21524,588
22186,21594,592
22261,21668,593
22335,21742,593
22410,21819,591
22484,21902,582
22559,21987,572
22634,22073,561
22708,22160,548
22783,22255,528
22858,22353,505
22932,22450,482
23007,22541,466
23082,22622,460
23157,22702,455
23232,22778,454
23306,22847,459
23381,22910,471
23456,22974,482
23531,23034,497
23606,23100,506
23681,23166,515
23756,23232,524
23831,23300,531
23905,23371,534
23980,23445,535
24055,23521,534
24130,23600,530
24205,23680,525
24280,23767,513
24355,23857,498
24430,23949,481
24505,24048,457
24580,24149,431
24655,24253,402
24730,24361,369
24805,24459,346
24880,24556,324
24955,24654,301
25030,24744,286
25105,24822,283
25180,24902,278
25255,24973,282
25330,25040,290
25405,25106,299
25480,25171,309
25555,25233,322
25630,25295,335
25705,25357,348
25780,25422,358
25855,25484,371
25930,25546,384
26005,25609,396
26080,25676,404
26155,25739,416
26230,25800,430
26305,25864,441
26379,25930,449
26454,25994,460
26529,26061,468
26604,26131,473
26679,26203,476
26754,26279,475
26828,26355,473
26903,26435,468
26978,26515,463
27053,26597,456
27128,26676,452
27202,26756,446
27277,26832,445
27352,26904,448
27426,26971,455
27501,27048,453
27576,27125,451
27650,27195,455
27725,27266,459
27799,27335,464
27874,27405,469
27948,27470,478
28023,27535,488
28097,27600,497
28172,27668,504
28246,27735,511
28320,27806,514
28395,27878,517
28469,27956,513
28543,28035,508
28617,28123,494
28692,28210,482
28766,28299,467
28840,28392,448
28914,28473,441
28988,28586,402
29062,28680,382
29136,28779,357
29210,28871,339
29284,28965,319
29358,29051,307
29432,29139,293
29505,29220,285
29579,29295,284
29653,29369,284
29726,29444,282
29800,29517,283
29874,29588,286
29947,29654,293
30021,29721,300
30094,29789,305
30168,29855,313
30241,29919,322
30314,29983,331
30387,30047,340
30461,30111,350
30534,30174,360
30607,30238,369
30680,30306,374
30753,30375,378
30826,30442,384
30899,30511,388
30972,30578,394
31045,30647,398
31117,30713,404
31190,30781,409
31263,30849,414
31335,30917,418
31408,30985,423
31480,31054,426
31553,31122,431
31625,31193,432
31697,31261,436
31770,31329,441
31842,31397,445
31914,31465,449
31986,31530,456
32058,31601,457
32130,31673,457
32202,31747,455
32273,31816,457
32345,31888,457
32417,31956,461
32488,32024,464
32560,32090,470
32631,32164,467
32703,32240,463
32774,32324,450
32845,32407,438
32916,32492,424
32988,32578,410
33059,32663,396
33130,32745,385
33200,32832,368
33271,32914,357
33342,32990,352
33413,33059,354
33483,33130,353
33554,33199,355
33624,33261,363
33695,33318,377
33765,33375,390
33835,33429,406
33905,33483,422
33975,33535,440
34045,33592,453
34115,33654,461
34185,33712,473
34255,33769,486
34324,33829,495
34394,33893,501
34463,33957,506
34533,34021,512
34602,34094,508
34671,34173,498
34740,34254,486
34809,34329,480
34878,34412,466
34947,34498,449
35016,34581,435
35084,34663,421
35153,34749,404
35221,34833,388
35290,34920,370
35358,34994,364
35426,35066,360
35495,35129,366
35563,35192,371
35630,35249,381
35698,35305,393
35766,35358,408
35834,35409,425
35901,35458,443
35969,35507,462
36036,35556,480
36103,35603,500
36170,35650,520
36237,35698,539
36304,35747,557
36371,35801,570
36438,35856,582
36505,35915,590
36571,35976,595
36638,36041,597
36704,36105,599
36770,36173,597
36836,36243,593
36902,36316,586
36968,36389,579
37034,36469,565
37100,36548,552
37165,36626,539
37231,36704,527
37296,36783,513
37361,36866,495
37426,36943,483
37491,37016,475
37556,37091,465
37621,37165,456
37686,37231,455
37750,37300,450
37815,37374,441
37879,37441,438
37943,37502,441
38008,37564,444
38072,37624,448
38135,37684,451
38199,37738,461
38263,37795,468
38326,37851,475
38390,37907,483
38453,37960,493
38516,38013,503
38579,38063,516
38642,38116,526
38705,38166,539
38768,38219,549
38830,38274,556
38892,38333,559
38955,38389,566
39017,38454,563
39079,38516,563
39141,38588,553
39203,38653,550
39264,38721,543
39326,38791,535
39387,38864,523
39449,38933,516
39510,39008,502
39571,39082,489
39632,39156,476
39692,39227,465
39753,39297,456
39813,39365,448
39874,39433,441
39934,39492,442
39994,39549,445
40054,39605,449
40114,39655,459
40173,39703,470
40233,39749,484
40292,39791,501
40352,39833,519
40411,39875,536
