position
50039
50069
50072
50064
50048
50025
49986
49942
49898
49781
49295
48791
48284
47729
47136
46416
45623
44780
43927
42962
41950
41026
39953
38938
37531
36071
34812
33307
31695
30246
28672
27015
25613
24315
22898
21734
20840
19935
18975
17896
16905
15861
15029
14320
13620
13045
12419
11744
11165
10653
10116
9662
9303
8984
8724
8454
8164
7891
7590
7294
6964
6657
6369
6068
5763
5566
5393
5248
5130
5026
4925
4832
4728
4618
4514
4404
4308
4268
4268
4378
7534
8464
9390
10496
11419
12638
13582
14725
15911
17069
18292
19407
20742
21888
23058
24525
25589
26798
28029
29324
30460
31629
32895
33984
35109
36230
37316
38296
39404
40281
41285
42131
43015
43750
44453
45231
45884
46464
47052
47505
48007
48476
48930
49223
49473
49656
49815
49896
