position
49722
49839
49919
49956
49968
49970
49974
49970
49964
49955
49945
49932
49920
49910
49892
49877
49865
49849
49833
49810
49700
49529
49360
49204
49048
48905
48756
48595
48421
48240
48052
47875
47708
47553
47404
47245
47093
46954
46802
46647
46462
46274
46060
45856
45643
45435
45225
44995
44747
44462
44135
43803
43498
43229
42933
42604
42227
41753
41339
40923
40491
39926
39400
38924
38440
37807
37228
36658
36085
35466
34927
34337
33746
33165
32636
32013
31435
30900
30416
29925
29487
29073
28672
28238
27801
27332
26910
26580
26276
25951
25578
25283
24980
24718
24473
24247
24127
24105
24130
24296
27268
30154
31981
33195
34560
35548
36686
37621
38659
39602
40695
41511
42489
43179
43986
44728
45383
45989
46602
47056
47565
48024
48469
48776
49072
49311
49498
49659
