train_loss,val_loss,train_accuracy,val_accuracy,time_per_batch
1.3732211589813232,1.3749545812606812,0.3,0.290625,460.7117176055908
1.3757684230804443,1.3855297565460205,0.278125,0.2625,12.621402740478516
1.3769176006317139,1.3725483417510986,0.303125,0.325,11.383533477783203
1.3661601543426514,1.3728289604187012,0.31875,0.309375,11.305809020996094
1.3832587003707886,1.3755630254745483,0.290625,0.29375,11.342048645019531
1.367354393005371,1.3675742149353027,0.3125,0.325,11.286258697509766
1.3763387203216553,1.3700568675994873,0.28125,0.3,11.331796646118164
1.3797166347503662,1.3766891956329346,0.296875,0.2875,11.351346969604492
1.380050539970398,1.3729526996612549,0.275,0.303125,11.271238327026367
1.3637526035308838,1.3728960752487183,0.278125,0.284375,11.312723159790039
1.3530395030975342,1.3783328533172607,0.34375,0.284375,11.326074600219727
1.3592586517333984,1.361619472503662,0.3375,0.2875,11.301279067993164
1.3664391040802002,1.3643217086791992,0.334375,0.340625,11.324167251586914
1.3712615966796875,1.3815619945526123,0.3,0.290625,11.317253112792969
1.3664284944534302,1.374554991722107,0.2875,0.31875,11.343955993652344
1.3667199611663818,1.3920680284500122,0.353125,0.33125,11.265277862548828
1.375152349472046,1.3820865154266357,0.284375,0.321875,11.249065399169922
1.385457992553711,1.3655245304107666,0.278125,0.33125,11.267900466918945
1.3905527591705322,1.3682104349136353,0.30625,0.309375,11.349678039550781
1.3770904541015625,1.3928163051605225,0.25,0.275,11.314630508422852
1.3775132894515991,1.3538357019424438,0.28125,0.290625,11.251211166381836
1.3571827411651611,1.374508261680603,0.290625,0.271875,11.347055435180664
1.3790743350982666,1.3636043071746826,0.259375,0.26875,11.347055435180664
1.3546702861785889,1.3428680896759033,0.30625,0.25625,11.284351348876953
1.377639651298523,1.3738470077514648,0.25625,0.26875,11.303186416625977
1.3671305179595947,1.3615597486495972,0.259375,0.28125,11.35873794555664
1.3720319271087646,1.3515721559524536,0.284375,0.296875,11.321067810058594
1.3265939950942993,1.3530458211898804,0.403125,0.384375,11.315107345581055
1.3475048542022705,1.3536654710769653,0.35625,0.325,11.373758316040039
1.3273288011550903,1.3359341621398926,0.334375,0.365625,11.345863342285156
