train_loss,val_loss,train_acc,val_acc
2.6519408226013184,3.7839388847351074,0.35,0.125
2.4565176963806152,2.6697049140930176,0.375,0.15
1.6160058975219727,2.4789299964904785,0.325,0.125
1.6495246887207031,1.774940848350525,0.25,0.1
1.5832693576812744,1.287157654762268,0.275,0.525
1.2754132747650146,1.3399159908294678,0.5,0.5
1.4246660470962524,1.2338135242462158,0.4,0.4
1.4325478076934814,1.3882471323013306,0.275,0.275
1.0661351680755615,0.9800015687942505,0.525,0.7
1.014092206954956,0.9333702325820923,0.6,0.725
0.9948522448539734,1.0133464336395264,0.675,0.625
0.9289026260375977,1.0336027145385742,0.65,0.6
0.9631177186965942,1.0002468824386597,0.575,0.525
0.7635711431503296,0.960610032081604,0.675,0.65
0.6579250693321228,1.1277395486831665,0.7,0.55
0.6811995506286621,0.8915964961051941,0.725,0.7
0.6218479871749878,0.6098628044128418,0.8,0.825
0.5315834879875183,0.7039496302604675,0.9,0.775
0.4570617079734802,0.6391476392745972,0.95,0.75
0.5371317267417908,0.7186701893806458,0.825,0.625
0.3420279622077942,0.7042028903961182,0.95,0.725
0.40249505639076233,0.8245466351509094,0.875,0.675
0.4369358420372009,0.7067738771438599,0.875,0.75
0.5031613111495972,0.7726636528968811,0.85,0.775
0.42888325452804565,0.9701493382453918,0.8,0.625
0.4428597092628479,1.0472853183746338,0.85,0.625
0.2602130174636841,0.5852075219154358,0.925,0.775
0.24381907284259796,0.8533962965011597,0.925,0.7
0.2664211392402649,0.7644669413566589,0.875,0.775
0.3031488060951233,0.6579877138137817,0.875,0.775
0.3317244052886963,0.7207692861557007,0.875,0.825
0.2741333842277527,0.33670467138290405,0.9,0.85
0.1941409409046173,0.7981424927711487,0.925,0.575
0.2465929090976715,0.6201604604721069,0.9,0.75
0.23620346188545227,0.5564894080162048,0.95,0.775
0.10657720267772675,0.9052790403366089,0.975,0.775
0.24043016135692596,0.9681156277656555,0.95,0.625
0.08824429661035538,0.8376544117927551,1.0,0.75
0.08853963762521744,0.507073700428009,0.975,0.85
