reference,position,error
0,2,-2
0,3,-3
0,2,-2
1,3,-2
2,3,-1
3,2,1
4,2,2
6,3,3
7,2,5
9,2,7
11,3,8
14,2,12
16,3,13
19,3,16
22,2,20
25,3,22
29,2,27
33,2,31
36,2,34
41,3,38
45,2,43
50,3,47
54,3,51
59,2,57
65,2,63
70,3,67
76,2,74
82,2,80
88,2,86
95,3,92
101,2,99
108,3,105
115,2,113
122,2,120
130,3,127
138,3,135
146,3,143
154,3,151
162,2,160
171,3,168
180,2,178
189,3,186
198,2,196
208,3,205
217,2,215
227,3,224
238,2,236
248,3,245
259,2,257
270,2,268
281,2,279
292,2,290
304,4,300
315,2,313
327,2,325
340,2,338
352,2,350
365,2,363
377,3,374
391,3,388
404,3,401
417,3,414
431,3,428
445,3,442
459,3,456
474,3,471
488,3,485
503,3,500
518,3,515
534,3,531
549,3,546
565,3,562
581,3,578
597,4,593
614,3,611
630,3,627
647,4,643
664,3,661
681,3,678
699,3,696
717,4,713
734,3,731
753,3,750
771,3,768
790,3,787
808,3,805
827,4,823
847,4,843
866,4,862
886,4,882
906,4,902
926,4,922
946,4,942
967,4,963
987,5,982
1008,5,1003
1030,4,1026
1051,5,1046
1073,5,1068
1095,5,1090
1117,5,1112
1139,6,1133
1161,5,1156
1184,6,1178
1207,6,1201
1230,6,1224
1253,7,1246
1277,7,1270
1301,7,1294
1325,8,1317
1349,9,1340
1373,11,1362
1398,12,1386
1423,14,1409
1448,16,1432
1473,18,1455
1499,20,1479
1524,22,1502
1550,25,1525
1576,29,1547
1603,33,1570
1629,36,1593
1656,38,1618
1683,42,1641
1710,48,1662
1737,54,1683
1765,60,1705
1793,66,1727
1821,73,1748
1849,82,1767
1877,94,1783
1906,109,1797
1935,133,1802
1964,172,1792
1993,241,1752
2022,294,1728
2052,345,1707
2082,389,1693
2112,415,1697
2142,427,1715
2173,434,1739
2203,437,1766
2234,445,1789
2265,462,1803
2297,480,1817
2328,495,1833
2360,504,1856
2392,510,1882
2424,516,1908
2456,523,1933
2489,532,1957
2522,540,1982
2554,548,2006
2588,556,2032
2621,563,2058
2654,571,2083
2688,583,2105
2722,598,2124
2756,619,2137
2791,638,2153
2825,661,2164
2860,685,2175
2895,710,2185
2930,734,2196
2965,756,2209
3001,775,2226
3037,789,2248
3072,802,2270
3109,815,2294
3145,830,2315
3181,844,2337
3218,860,2358
3255,876,2379
3292,893,2399
3329,914,2415
3367,940,2427
3405,974,2431
3442,1017,2425
3481,1065,2416
3519,1120,2399
3557,1175,2382
3596,1235,2361
3635,1297,2338
3674,1359,2315
3713,1422,2291
3752,1483,2269
3792,1542,2250
3832,1600,2232
3872,1653,2219
3912,1704,2208
3952,1751,2201
3993,1797,2196
4034,1841,2193
4075,1885,2190
4116,1926,2190
4157,1965,2192
4199,2001,2198
4240,2039,2201
4282,2079,2203
4324,2122,2202
4367,2169,2198
4409,2221,2188
4452,2276,2176
4494,2335,2159
4537,2399,2138
4581,2460,2121
4624,2521,2103
4668,2586,2082
4711,2651,2060
4755,2711,2044
4799,2765,2034
4844,2820,2024
4888,2875,2013
4933,2927,2006
4978,2978,2000
5023,3030,1993
5068,3080,1988
5113,3134,1979
5159,3187,1972
5204,3243,1961
5250,3298,1952
5296,3353,1943
5343,3405,1938
5389,3459,1930
5436,3519,1917
5482,3582,1900
5529,3647,1882
5576,3715,1861
5624,3786,1838
5671,3851,1820
5719,3921,1798
5767,3988,1779
5815,4049,1766
5863,4107,1756
5911,4163,1748
5960,4215,1745
6008,4268,1740
6057,4324,1733
6106,4384,1722
6155,4448,1707
6205,4518,1687
6254,4591,1663
6304,4664,1640
6354,4740,1614
6404,4813,1591
6454,4882,1572
6505,4946,1559
6555,5009,1546
6606,5073,1533
6657,5132,1525
6708,5196,1512
6759,5261,1498
6810,5327,1483
6862,5391,1471
6914,5458,1456
6965,5524,1441
7017,5588,1429
7070,5657,1413
7122,5731,1391
7174,5807,1367
7227,5882,1345
7280,5960,1320
7333,6036,1297
7386,6117,1269
7439,6200,1239
7493,6284,1209
7546,6369,1177
7600,6454,1146
7654,6539,1115
7708,6614,1094
7763,6690,1073
7817,6768,1049
7871,6844,1027
7926,6918,1008
7981,6987,994
8036,7061,975
8091,7132,959
8147,7208,939
8202,7281,921
8258,7350,908
8313,7416,897
8369,7483,886
8425,7544,881
8482,7605,877
8538,7665,873
8595,7722,873
8651,7774,877
8708,7824,884
8765,7869,896
8822,7911,911
8879,7956,923
8937,8003,934
8994,8057,937
9052,8117,935
9110,8178,932
9168,8239,929
9226,8306,920
9284,8367,917
9343,8428,915
9401,8490,911
9460,8551,909
9519,8616,903
9578,8681,897
9637,8747,890
9696,8813,883
9755,8883,872
9815,8950,865
9874,9014,860
9934,9075,859
9994,9138,856
10054,9205,849
10114,9269,845
10175,9332,843
10235,9395,840
10296,9459,837
10356,9518,838
10417,9579,838
10478,9643,835
10539,9708,831
10601,9775,826
10662,9842,820
10724,9906,818
10785,9972,813
10847,10040,807
10909,10109,800
10971,10173,798
11033,10234,799
11095,10295,800
11158,10355,803
11220,10414,806
11283,10468,815
11346,10522,824
11408,10575,833
11471,10627,844
11535,10677,858
11598,10730,868
11661,10784,877
11725,10843,882
11788,10906,882
11852,10977,875
11916,11056,860
11980,11132,848
12044,11215,829
12108,11299,809
12172,11384,788
12237,11471,766
12301,11555,746
12366,11638,728
12431,11717,714
12496,11801,695
12561,11880,681
12626,11951,675
12691,12015,676
12756,12077,679
12822,12139,683
12887,12199,688
12953,12254,699
13019,12312,707
13085,12370,715
13151,12429,722
13217,12492,725
13283,12556,727
13349,12616,733
13416,12669,747
13482,12722,760
13549,12777,772
13616,12828,788
13682,12878,804
13749,12930,819
13816,12987,829
13883,13053,830
13951,13131,820
14018,13210,808
14085,13295,790
14153,13382,771
14221,13472,749
14288,13564,724
14356,13650,706
14424,13736,688
14492,13823,669
14560,13903,657
14628,13976,652
14697,14043,654
14765,14112,653
14833,14179,654
14902,14240,662
14971,14299,672
15039,14355,684
15108,14416,692
15177,14479,698
15246,14538,708
15315,14599,716
15384,14665,719
15454,14734,720
15523,14799,724
15593,14869,724
15662,14941,721
15732,15015,717
15801,15091,710
15871,15165,706
15941,15241,700
16011,15320,691
16081,15399,682
16151,15478,673
16221,15561,660
16292,15644,648
16362,15724,638
16432,15813,619
16503,15899,604
16573,15974,599
16644,16049,595
16715,16120,595
16786,16187,599
16856,16250,606
16927,16311,616
16998,16373,625
17070,16432,638
17141,16492,649
17212,16552,660
17283,16619,664
17355,16686,669
17426,16755,671
17498,16829,669
17569,16907,662
17641,16980,661
17712,17059,653
17784,17135,649
17856,17215,641
17928,17297,631
18000,17379,621
18072,17456,616
18144,17535,609
18216,17614,602
18288,17690,598
18361,17766,595
18433,17840,593
18505,17909,596
18578,17983,595
18650,18057,593
18723,18127,596
18796,18198,598
18868,18267,601
18941,18335,606
19014,18410,604
19087,18485,602
19160,18563,597
19233,18643,590
19306,18726,580
19379,18810,569
19452,18898,554
19525,18987,538
