reference,position,error
0,9,-9
0,9,-9
0,10,-10
0,9,-9
1,9,-8
1,9,-8
2,9,-7
2,10,-8
3,9,-6
4,9,-5
5,10,-5
6,9,-3
7,9,-2
8,9,-1
10,9,1
11,9,2
13,9,4
14,10,4
16,9,7
18,10,8
20,9,11
22,9,13
24,9,15
26,9,17
29,9,20
31,9,22
34,10,24
36,9,27
39,10,29
42,10,32
45,9,36
48,10,38
51,9,42
54,9,45
58,9,49
61,9,52
65,10,55
68,10,58
72,9,63
76,9,67
80,10,70
84,9,75
88,10,78
92,9,83
97,9,88
101,10,91
106,9,97
110,10,100
115,10,105
120,10,110
125,9,116
130,9,121
135,9,126
140,10,130
146,9,137
151,10,141
157,9,148
162,9,153
168,10,158
174,9,165
180,9,171
186,10,176
192,10,182
198,9,189
205,10,195
211,10,201
217,9,208
224,9,215
231,9,222
238,10,228
245,10,235
252,10,242
259,10,249
266,10,256
273,9,264
281,10,271
288,10,278
296,9,287
304,10,294
311,10,301
319,10,309
327,10,317
335,10,325
344,10,334
352,10,342
360,10,350
369,9,360
377,10,367
386,11,375
395,10,385
404,10,394
413,11,402
422,12,410
431,10,421
441,11,430
450,11,439
459,11,448
469,12,457
479,11,468
488,11,477
498,11,487
508,11,497
518,11,507
529,12,517
539,12,527
549,12,537
560,13,547
570,12,558
581,13,568
592,13,579
603,14,589
614,14,600
625,15,610
636,16,620
647,17,630
658,18,640
670,18,652
681,20,661
693,20,673
705,22,683
717,22,695
728,22,706
741,23,718
753,24,729
765,24,741
777,26,751
790,26,764
802,26,776
815,27,788
827,28,799
840,29,811
853,30,823
866,30,836
879,31,848
892,32,860
906,33,873
919,34,885
933,35,898
946,36,910
960,36,924
974,37,937
987,39,948
1001,40,961
1015,41,974
1030,43,987
1044,43,1001
1058,45,1013
1073,46,1027
1087,48,1039
1102,50,1052
1117,51,1066
1131,55,1076
1146,56,1090
1161,59,1102
1176,62,1114
1192,65,1127
1207,69,1138
1222,74,1148
1238,78,1160
1253,84,1169
1269,91,1178
1285,98,1187
1301,106,1195
1317,115,1202
1333,124,1209
1349,135,1214
1365,147,1218
1382,159,1223
1398,172,1226
1415,186,1229
1431,201,1230
1448,215,1233
1465,231,1234
1482,246,1236
1499,264,1235
1516,283,1233
1533,299,1234
1550,317,1233
1568,336,1232
1585,355,1230
1603,375,1228
1620,396,1224
1638,415,1223
1656,435,1221
1674,453,1221
1692,473,1219
1710,493,1217
1728,513,1215
1746,534,1212
1765,556,1209
1783,579,1204
1802,601,1201
1821,624,1197
1839,648,1191
1858,671,1187
1877,695,1182
1896,718,1178
1915,741,1174
1935,765,1170
1954,789,1165
1973,811,1162
1993,835,1158
2013,856,1157
2032,877,1155
2052,897,1155
2072,915,1157
2092,932,1160
2112,949,1163
2132,968,1164
2152,987,1165
2173,1004,1169
2193,1022,1171
2214,1040,1174
2234,1058,1176
2255,1077,1178
2276,1097,1179
2297,1115,1182
2318,1134,1184
2339,1154,1185
2360,1174,1186
2381,1192,1189
2403,1213,1190
2424,1231,1193
2446,1250,1196
2467,1270,1197
2489,1290,1199
2511,1309,1202
2532,1327,1205
2554,1344,1210
2577,1362,1215
2599,1379,1220
2621,1397,1224
2643,1414,1229
2666,1430,1236
2688,1448,1240
2711,1466,1245
2733,1486,1247
2756,1507,1249
2779,1527,1252
2802,1549,1253
2825,1572,1253
2848,1594,1254
2871,1618,1253
2895,1642,1253
2918,1666,1252
2942,1689,1253
