position
49875
49925
49954
49969
49972
49963
49938
49904
49853
49806
49732
49273
48701
48180
47648
47069
46375
45657
44808
43925
42955
41922
40800
39587
38144
36686
35264
33688
31950
30548
29108
27351
25911
24735
23264
22083
21019
19957
18921
17969
17020
16112
15298
14590
13773
13183
12624
11885
11273
10814
10333
9819
9469
9115
8787
8513
8243
7935
7606
7325
7017
6709
6511
6257
5998
5742
5552
5417
5284
5157
5050
4958
4867
4754
4640
4535
4421
4361
4357
4400
7315
8471
9338
10450
11365
12573
13501
14722
15919
17043
18207
19402
20612
21849
23033
24446
25521
26822
27986
29268
30462
31591
32863
33890
35097
36160
37234
38280
39288
40273
41259
42100
42928
43671
44435
45194
45848
46429
47009
47459
47910
48353
48768
49104
49491
49707
49830
49912
