position
48470
48652
48804
48910
49005
49077
49120
49149
49168
49180
49191
49198
49204
49207
49211
49212
49214
49211
49214
49215
49213
49210
49208
49205
49201
49194
49190
49182
49178
49169
49162
49153
49141
49130
49122
49106
49095
49082
49067
49057
49043
49030
49018
49004
48990
48976
48965
48953
48939
48918
48880
48795
48667
48547
48412
48292
48168
48039
47924
47803
47669
47535
47415
47285
47152
47014
46867
46724
46584
46437
46297
46129
45985
45838
45674
45527
45379
45233
45100
44958
44815
44683
44547
44424
44299
44163
44052
43928
43802
43656
43470
43281
43083
42871
42668
42455
42225
42014
41805
41568
41337
41038
40762
40486
40207
39975
39727
39454
39162
38807
38651
38618
38617
38684
38886
41077
42934
43990
44753
45504
46052
46544
46931
47327
47655
47924
48185
48388
